"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 20-Sep-2023",764.23,665.20,741.56,,23.77,20.69,23.07,
"00:00:00 21-Aug-2023",804.11,717.09,746.06,,25.01,22.30,23.21,
"00:00:00 22-Jul-2023",808.35,714.79,733.05,,25.14,22.23,22.80,
"00:00:00 22-Jun-2023",812.37,711.02,791.23,,25.27,22.12,24.61,
"00:00:00 23-May-2023",788.38,723.54,730.30,,24.52,22.50,22.71,
"00:00:00 23-Apr-2023",840.32,750.14,758.70,,26.14,23.33,23.60,
"00:00:00 24-Mar-2023",838.69,734.07,806.72,,26.09,22.83,25.09,
"00:00:00 22-Feb-2023",746.61,639.97,740.99,,23.22,19.91,23.05,
"00:00:00 23-Jan-2023",791.63,680.93,702.88,,24.62,21.18,21.86,
"00:00:00 24-Dec-2022",789.07,743.52,772.11,,24.54,23.13,24.02,
"00:00:00 24-Nov-2022",781.28,671.08,763.64,,24.30,20.87,23.75,
"00:00:00 25-Oct-2022",715.25,604.16,693.93,,22.25,18.79,21.58,
"00:00:00 25-Sep-2022",682.89,577.76,620.60,,21.24,17.97,19.30,
"00:00:00 26-Aug-2022",643.42,564.79,606.51,,20.01,17.57,18.86,
"00:00:00 27-Jul-2022",670.91,593.35,617.20,,20.87,18.46,19.20,
"00:00:00 27-Jun-2022",692.50,583.48,600.47,,21.54,18.15,18.68,
"00:00:00 28-May-2022",723.87,662.98,680.06,,22.51,20.62,21.15,
"00:00:00 28-Apr-2022",757.54,657.89,711.16,,23.56,20.46,22.12,
"00:00:00 29-Mar-2022",842.94,747.50,750.12,,26.22,23.25,23.33,
"00:00:00 27-Feb-2022",865.84,774.93,801.97,,26.93,24.10,24.94,
"00:00:00 28-Jan-2022",823.43,707.63,780.35,,25.61,22.01,24.27,
"00:00:00 29-Dec-2021",794.03,705.99,731.29,,24.70,21.96,22.75,
"00:00:00 29-Nov-2021",753.70,689.02,739.88,,23.44,21.43,23.01,
"00:00:00 30-Oct-2021",816.77,736.96,749.96,,25.40,22.92,23.33,
"00:00:00 30-Sep-2021",797.97,690.43,768.16,,24.82,21.47,23.89,
"00:00:00 31-Aug-2021",799.56,688.71,693.37,,24.87,21.42,21.57,
"00:00:00 01-Aug-2021",836.06,714.49,772.69,,26.00,22.22,24.03,
"00:00:00 02-Jul-2021",860.74,787.63,819.46,,26.77,24.50,25.49,
"00:00:00 02-Jun-2021",909.37,821.05,836.11,,28.28,25.54,26.01,
"00:00:00 03-May-2021",924.32,829.73,895.42,,28.75,25.81,27.85,
"00:00:00 03-Apr-2021",856.53,791.34,831.68,,26.64,24.61,25.87,
"00:00:00 04-Mar-2021",856.29,764.87,802.08,,26.63,23.79,24.95,
"00:00:00 02-Feb-2021",928.87,830.71,836.13,,28.89,25.84,26.01,
"00:00:00 03-Jan-2021",964.36,778.27,917.10,,29.99,24.21,28.52,
"00:00:00 04-Dec-2020",880.66,756.54,848.44,,27.39,23.53,26.39,
"00:00:00 04-Nov-2020",836.09,704.07,772.84,,26.01,21.90,24.04,
"00:00:00 05-Oct-2020",821.73,726.88,784.46,,25.56,22.61,24.40,
"00:00:00 05-Sep-2020",888.23,696.59,768.52,,27.63,21.67,23.90,
"00:00:00 06-Aug-2020",959.55,754.06,865.56,,29.85,23.45,26.92,
"00:00:00 07-Jul-2020",872.02,578.47,864.65,,27.12,17.99,26.89,
"00:00:00 07-Jun-2020",592.99,545.25,588.68,,18.44,16.96,18.31,
"00:00:00 08-May-2020",591.14,489.37,559.87,,18.39,15.22,17.41,
"00:00:00 08-Apr-2020",509.53,467.75,490.51,,15.85,14.55,15.26,
"00:00:00 09-Mar-2020",563.19,374.24,481.39,,17.52,11.64,14.97,
"00:00:00 08-Feb-2020",609.16,527.30,562.58,,18.95,16.40,17.50,
"00:00:00 09-Jan-2020",590.27,559.13,569.11,,18.36,17.39,17.70,
"00:00:00 10-Dec-2019",606.25,533.18,582.86,,18.86,16.58,18.13,
"00:00:00 10-Nov-2019",556.24,531.44,533.82,,17.30,16.53,16.60,
"00:00:00 11-Oct-2019",589.42,537.09,540.00,,18.33,16.71,16.80,
"00:00:00 11-Sep-2019",602.50,543.37,563.20,,18.74,16.90,17.52,
"00:00:00 12-Aug-2019",631.76,531.97,579.37,,19.65,16.55,18.02,
"00:00:00 13-Jul-2019",554.34,487.72,546.91,,17.24,15.17,17.01,
"00:00:00 13-Jun-2019",500.13,474.04,489.41,,15.56,14.74,15.22,
"00:00:00 14-May-2019",487.16,459.81,475.22,,15.15,14.30,14.78,
"00:00:00 14-Apr-2019",485.44,468.39,475.50,,15.10,14.57,14.79,
"00:00:00 15-Mar-2019",502.75,479.19,481.50,,15.64,14.90,14.98,
"00:00:00 13-Feb-2019",530.36,481.76,488.31,,16.50,14.98,15.19,
"00:00:00 14-Jan-2019",520.44,488.24,505.08,,16.19,15.19,15.71,
"00:00:00 15-Dec-2018",510.23,467.76,501.64,,15.87,14.55,15.60,
"00:00:00 15-Nov-2018",476.03,452.01,468.52,,14.81,14.06,14.57,
"00:00:00 16-Oct-2018",479.49,446.89,454.67,,14.91,13.90,14.14,
"00:00:00 16-Sep-2018",479.39,451.72,472.63,,14.91,14.05,14.70,
"00:00:00 17-Aug-2018",482.23,448.33,451.98,,15.00,13.94,14.06,
"00:00:00 18-Jul-2018",503.70,461.19,471.57,,15.67,14.34,14.67,
"00:00:00 18-Jun-2018",534.59,500.32,500.76,,16.63,15.56,15.58,
"00:00:00 19-May-2018",556.68,523.25,532.99,,17.31,16.27,16.58,
"00:00:00 19-Apr-2018",557.95,516.31,528.80,,17.35,16.06,16.45,
"00:00:00 20-Mar-2018",555.05,518.54,553.12,,17.26,16.13,17.20,
"00:00:00 18-Feb-2018",542.10,520.45,525.07,,16.86,16.19,16.33,
"00:00:00 19-Jan-2018",569.02,520.93,535.86,,17.70,16.20,16.67,
"00:00:00 20-Dec-2017",560.04,517.74,545.84,,17.42,16.10,16.98,
"00:00:00 20-Nov-2017",555.39,502.65,518.85,,17.27,15.63,16.14,
"00:00:00 21-Oct-2017",557.81,534.54,555.25,,17.35,16.63,17.27,
"00:00:00 21-Sep-2017",561.43,525.50,547.72,,17.46,16.34,17.04,
"00:00:00 22-Aug-2017",585.43,541.17,550.57,,18.21,16.83,17.12,
"00:00:00 23-Jul-2017",556.31,518.90,547.51,,17.30,16.14,17.03,
"00:00:00 23-Jun-2017",543.39,482.99,531.17,,16.90,15.02,16.52,
"00:00:00 24-May-2017",570.49,526.29,534.09,,17.74,16.37,16.61,
"00:00:00 24-Apr-2017",578.89,516.90,548.71,,18.01,16.08,17.07,
"00:00:00 25-Mar-2017",599.79,567.43,574.45,,18.66,17.65,17.87,
"00:00:00 23-Feb-2017",594.32,541.28,571.29,,18.49,16.84,17.77,
"00:00:00 24-Jan-2017",583.32,535.07,579.28,,18.14,16.64,18.02,
"00:00:00 25-Dec-2016",557.28,505.20,553.31,,17.33,15.71,17.21,
"00:00:00 25-Nov-2016",554.17,502.88,506.67,,17.24,15.64,15.76,
"00:00:00 26-Oct-2016",610.88,520.13,526.16,,19.00,16.18,16.37,
"00:00:00 26-Sep-2016",634.83,550.27,570.80,,19.75,17.12,17.75,
"00:00:00 27-Aug-2016",647.22,591.44,633.66,,20.13,18.40,19.71,
"00:00:00 28-Jul-2016",668.03,594.44,599.91,,20.78,18.49,18.66,
"00:00:00 28-Jun-2016",679.28,563.76,652.40,,21.13,17.53,20.29,
"00:00:00 29-May-2016",589.09,508.84,570.64,,18.32,15.83,17.75,
"00:00:00 29-Apr-2016",579.03,518.86,521.87,,18.01,16.14,16.23,
"00:00:00 30-Mar-2016",568.94,475.68,565.84,,17.70,14.80,17.60,
"00:00:00 29-Feb-2016",519.00,470.02,493.77,,16.14,14.62,15.36,
"00:00:00 30-Jan-2016",512.70,456.70,473.84,,15.95,14.20,14.74,
"00:00:00 31-Dec-2015",468.58,442.27,458.67,,14.57,13.76,14.27,
"00:00:00 01-Dec-2015",470.81,439.00,446.26,,14.64,13.65,13.88,
"00:00:00 01-Nov-2015",500.44,447.59,452.88,,15.57,13.92,14.09,
"00:00:00 02-Oct-2015",526.09,463.65,500.19,,16.36,14.42,15.56,
"00:00:00 02-Sep-2015",495.85,459.74,467.80,,15.42,14.30,14.55,
"00:00:00 03-Aug-2015",503.59,450.04,469.41,,15.66,14.00,14.60,
"00:00:00 04-Jul-2015",509.44,462.49,474.07,,15.85,14.39,14.75,
"00:00:00 04-Jun-2015",531.94,498.50,504.81,,16.55,15.51,15.70,
"00:00:00 05-May-2015",571.47,519.50,530.96,,17.77,16.16,16.51,
"00:00:00 05-Apr-2015",556.85,502.25,529.40,,17.32,15.62,16.47,
"00:00:00 06-Mar-2015",559.39,491.81,539.30,,17.40,15.30,16.77,
"00:00:00 04-Feb-2015",567.43,517.19,521.84,,17.65,16.09,16.23,
"00:00:00 05-Jan-2015",594.29,506.05,556.00,,18.48,15.74,17.29,
"00:00:00 06-Dec-2014",556.80,499.69,506.51,,17.32,15.54,15.75,
"00:00:00 06-Nov-2014",539.01,465.08,523.83,,16.77,14.47,16.29,
"00:00:00 07-Oct-2014",572.64,488.14,494.96,,17.81,15.18,15.39,
"00:00:00 07-Sep-2014",621.37,536.31,557.92,,19.33,16.68,17.35,
"00:00:00 08-Aug-2014",648.63,611.15,617.21,,20.17,19.01,19.20,
"00:00:00 09-Jul-2014",693.60,635.12,641.85,,21.57,19.75,19.96,
"00:00:00 09-Jun-2014",684.60,610.70,675.95,,21.29,18.99,21.02,
"00:00:00 10-May-2014",642.45,599.46,612.35,,19.98,18.65,19.05,
"00:00:00 10-Apr-2014",655.34,606.40,616.35,,20.38,18.86,19.17,
"00:00:00 11-Mar-2014",700.16,629.67,640.33,,21.78,19.58,19.92,
"00:00:00 09-Feb-2014",712.98,641.31,670.39,,22.18,19.95,20.85,
"00:00:00 10-Jan-2014",662.45,611.68,644.45,,20.60,19.03,20.04,
"00:00:00 11-Dec-2013",658.58,602.94,630.09,,20.48,18.75,19.60,
"00:00:00 11-Nov-2013",690.45,607.82,655.65,,21.48,18.91,20.39,
"00:00:00 12-Oct-2013",742.43,660.01,689.04,,23.09,20.53,21.43,
"00:00:00 12-Sep-2013",752.91,664.03,686.39,,23.42,20.65,21.35,
"00:00:00 13-Aug-2013",807.76,680.57,744.76,,25.12,21.17,23.16,
"00:00:00 14-Jul-2013",690.60,617.68,685.73,,21.48,19.21,21.33,
"00:00:00 14-Jun-2013",723.02,586.35,641.76,,22.49,18.24,19.96,
"00:00:00 15-May-2013",756.17,651.33,702.28,,23.52,20.26,21.84,
"00:00:00 15-Apr-2013",839.73,710.49,755.50,,26.12,22.10,23.50,
"00:00:00 16-Mar-2013",943.28,831.97,836.46,,29.34,25.88,26.02,
"00:00:00 14-Feb-2013",1000.35,899.28,925.92,,31.11,27.97,28.80,
"00:00:00 15-Jan-2013",1043.91,986.20,990.41,,32.47,30.67,30.81,
"00:00:00 16-Dec-2012",1047.29,940.55,1000.13,,32.57,29.25,31.11,
"00:00:00 16-Nov-2012",1106.44,1031.99,1038.12,,34.41,32.10,32.29,
"00:00:00 17-Oct-2012",1072.37,986.64,1049.50,,33.35,30.69,32.64,
"00:00:00 17-Sep-2012",1137.46,1048.15,1065.44,,35.38,32.60,33.14,
"00:00:00 18-Aug-2012",1123.74,899.88,1117.67,,34.95,27.99,34.76,
"00:00:00 19-Jul-2012",915.31,857.53,903.42,,28.47,26.67,28.10,
"00:00:00 19-Jun-2012",932.35,841.81,874.61,,29.00,26.18,27.20,
"00:00:00 20-May-2012",963.22,873.38,925.81,,29.96,27.17,28.80,
"00:00:00 20-Apr-2012",1027.68,865.05,924.79,,31.96,26.91,28.76,
"00:00:00 21-Mar-2012",1070.92,998.06,1020.60,,33.31,31.04,31.74,
"00:00:00 20-Feb-2012",1205.09,1017.59,1031.69,,37.48,31.65,32.09,
"00:00:00 21-Jan-2012",1110.79,1015.78,1081.40,,34.55,31.59,33.64,
"00:00:00 22-Dec-2011",1036.52,843.61,1036.36,,32.24,26.24,32.23,
"00:00:00 22-Nov-2011",1082.65,904.86,943.42,,33.67,28.14,29.34,
"00:00:00 23-Oct-2011",1146.95,987.00,1013.53,,35.67,30.70,31.52,
"00:00:00 23-Sep-2011",1177.98,841.18,1009.19,,36.64,26.16,31.39,
"00:00:00 24-Aug-2011",1395.63,1144.41,1166.06,,43.41,35.60,36.27,
"00:00:00 25-Jul-2011",1420.44,1192.67,1357.56,,44.18,37.10,42.22,
"00:00:00 25-Jun-2011",1315.10,1074.61,1301.41,,40.90,33.42,40.48,
"00:00:00 26-May-2011",1249.67,1099.85,1103.55,,38.87,34.21,34.32,
"00:00:00 26-Apr-2011",1594.16,1043.05,1218.14,,49.58,32.44,37.89,
"00:00:00 27-Mar-2011",1595.69,1172.81,1493.96,,49.63,36.48,46.47,
"00:00:00 25-Feb-2011",1228.61,1041.34,1201.12,,38.21,32.39,37.36,
"00:00:00 26-Jan-2011",1104.36,850.29,1043.42,,34.35,26.45,32.45,
"00:00:00 27-Dec-2010",1005.65,854.87,863.97,,31.28,26.59,26.87,
"00:00:00 27-Nov-2010",987.97,852.29,928.38,,30.73,26.51,28.88,
"00:00:00 28-Oct-2010",943.14,755.20,859.69,,29.33,23.49,26.74,
"00:00:00 28-Sep-2010",801.21,677.92,762.45,,24.92,21.09,23.71,
"00:00:00 29-Aug-2010",696.69,605.70,684.15,,21.67,18.84,21.28,
"00:00:00 30-Jul-2010",621.94,563.59,614.71,,19.34,17.53,19.12,
"00:00:00 30-Jun-2010",605.39,557.32,565.97,,18.83,17.33,17.60,
"00:00:00 31-May-2010",622.91,554.04,595.13,,19.37,17.23,18.51,
"00:00:00 01-May-2010",639.47,549.28,590.88,,19.89,17.08,18.38,
"00:00:00 01-Apr-2010",605.23,561.66,600.40,,18.82,17.47,18.67,
"00:00:00 02-Mar-2010",568.74,524.36,563.24,,17.69,16.31,17.52,
"00:00:00 31-Jan-2010",546.39,471.43,530.27,,16.99,14.66,16.49,
"00:00:00 01-Jan-2010",608.44,514.56,521.96,,18.92,16.00,16.23,
"00:00:00 02-Dec-2009",626.61,538.03,544.14,,19.49,16.73,16.92,
"00:00:00 02-Nov-2009",619.05,522.11,614.69,,19.25,16.24,19.12,
"00:00:00 03-Oct-2009",583.85,518.09,526.26,,18.16,16.11,16.37,
"00:00:00 03-Sep-2009",569.70,492.86,520.51,,17.72,15.33,16.19,
"00:00:00 04-Aug-2009",498.97,434.02,495.25,,15.52,13.50,15.40,
"00:00:00 05-Jul-2009",466.25,400.92,460.32,,14.50,12.47,14.32,
"00:00:00 05-Jun-2009",503.16,431.14,432.11,,15.65,13.41,13.44,
"00:00:00 06-May-2009",513.45,421.50,492.07,,15.97,13.11,15.31,
"00:00:00 06-Apr-2009",421.50,385.17,421.50,,13.11,11.98,13.11,
"00:00:00 07-Mar-2009",442.39,405.42,413.46,,13.76,12.61,12.86,
"00:00:00 05-Feb-2009",462.65,398.67,432.75,,14.39,12.40,13.46,
"00:00:00 06-Jan-2009",402.21,337.90,398.67,,12.51,10.51,12.40,
"00:00:00 07-Dec-2008",362.98,304.15,355.91,,11.29,9.46,11.07,
"00:00:00 07-Nov-2008",334.69,294.82,304.15,,10.41,9.17,9.46,
"00:00:00 08-Oct-2008",377.45,285.50,334.69,,11.74,8.88,10.41,
"00:00:00 08-Sep-2008",430.18,342.73,374.23,,13.38,10.66,11.64,
"00:00:00 09-Aug-2008",506.70,408.96,408.96,,15.76,12.72,12.72,
"00:00:00 10-Jul-2008",620.51,506.70,506.70,,19.30,15.76,15.76,
"00:00:00 10-Jun-2008",588.68,524.38,572.93,,18.31,16.31,17.82,
"00:00:00 11-May-2008",583.21,533.70,561.35,,18.14,16.60,17.46,
"00:00:00 11-Apr-2008",596.72,520.52,545.60,,18.56,16.19,16.97,
"00:00:00 12-Mar-2008",672.59,538.20,589.00,,20.92,16.74,18.32,
"00:00:00 11-Feb-2008",668.74,544.96,651.05,,20.80,16.95,20.25,
"00:00:00 12-Jan-2008",552.67,500.59,544.96,,17.19,15.57,16.95,
"00:00:00 13-Dec-2007",516.34,441.91,516.34,,16.06,13.74,16.06,
"00:00:00 13-Nov-2007",486.76,445.61,470.53,,15.14,13.86,14.64,
"00:00:00 14-Oct-2007",508.62,429.21,486.76,,15.82,13.35,15.14,
"00:00:00 14-Sep-2007",443.36,400.92,443.36,,13.79,12.47,13.79,
"00:00:00 15-Aug-2007",410.24,375.20,400.92,,12.76,11.67,12.47,
"00:00:00 16-Jul-2007",428.89,407.99,410.24,,13.34,12.69,12.76,
"00:00:00 16-Jun-2007",428.89,394.17,421.98,,13.34,12.26,13.13,
"00:00:00 17-May-2007",440.79,413.46,419.89,,13.71,12.86,13.06,
"00:00:00 17-Apr-2007",453.00,418.60,423.10,,14.09,13.02,13.16,
"00:00:00 18-Mar-2007",453.00,420.21,453.00,,14.09,13.07,14.09,
"00:00:00 16-Feb-2007",468.76,405.26,420.21,,14.58,12.60,13.07,
"00:00:00 17-Jan-2007",449.47,403.49,449.47,,13.98,12.55,13.98,
"00:00:00 18-Dec-2006",441.43,392.56,412.82,,13.73,12.21,12.84,
