"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 05-Aug-2026",2146.90,1910.18,2082.56,,66.78,59.41,64.77,
"00:00:00 06-Jul-2026",2028.75,1761.13,1911.48,,63.10,54.78,59.45,
"00:00:00 06-Jun-2026",2300.24,1788.05,2019.21,,71.55,55.61,62.80,
"00:00:00 07-May-2026",2872.68,2172.74,2181.05,,89.35,67.58,67.84,
"00:00:00 07-Apr-2026",2670.04,2246.70,2492.59,,83.05,69.88,77.53,
"00:00:00 08-Mar-2026",2893.24,1961.74,2343.58,,89.99,61.02,72.89,
"00:00:00 06-Feb-2026",3099.26,2061.99,2716.93,,96.40,64.14,84.51,
"00:00:00 07-Jan-2026",3910.07,2154.49,2162.82,,121.62,67.01,67.27,
"00:00:00 08-Dec-2025",2697.59,1852.87,2652.87,,83.90,57.63,82.51,
"00:00:00 08-Nov-2025",1907.34,1553.89,1879.16,,59.32,48.33,58.45,
"00:00:00 09-Oct-2025",1751.19,1464.84,1554.38,,54.47,45.56,48.35,
"00:00:00 09-Sep-2025",1592.96,1309.56,1568.71,,49.55,40.73,48.79,
"00:00:00 10-Aug-2025",1339.57,1188.70,1328.72,,41.67,36.97,41.33,
"00:00:00 11-Jul-2025",1270.82,1164.35,1233.91,,39.53,36.22,38.38,
"00:00:00 11-Jun-2025",1199.71,1134.44,1193.21,,37.32,35.29,37.11,
"00:00:00 12-May-2025",1185.97,1017.67,1176.39,,36.89,31.65,36.59,
"00:00:00 12-Apr-2025",1083.05,1018.51,1050.10,,33.69,31.68,32.66,
"00:00:00 13-Mar-2025",1111.53,910.38,1038.46,,34.57,28.32,32.30,
"00:00:00 11-Feb-2025",1073.71,991.03,1069.97,,33.40,30.82,33.28,
"00:00:00 12-Jan-2025",1049.55,948.60,1031.11,,32.64,29.50,32.07,
"00:00:00 13-Dec-2024",1000.02,924.28,977.74,,31.10,28.75,30.41,
"00:00:00 13-Nov-2024",1039.32,953.23,994.04,,32.33,29.65,30.92,
"00:00:00 14-Oct-2024",1120.93,970.66,986.88,,34.86,30.19,30.70,
"00:00:00 14-Sep-2024",1059.29,955.17,1002.81,,32.95,29.71,31.19,
"00:00:00 15-Aug-2024",994.04,883.74,988.33,,30.92,27.49,30.74,
"00:00:00 16-Jul-2024",1010.18,850.98,886.97,,31.42,26.47,27.59,
"00:00:00 16-Jun-2024",1020.79,918.73,984.45,,31.75,28.58,30.62,
"00:00:00 17-May-2024",1045.07,921.61,950.31,,32.51,28.67,29.56,
"00:00:00 17-Apr-2024",959.45,836.59,954.09,,29.84,26.02,29.68,
"00:00:00 18-Mar-2024",957.73,782.27,905.90,,29.79,24.33,28.18,
"00:00:00 17-Feb-2024",817.95,716.22,807.71,,25.44,22.28,25.12,
"00:00:00 18-Jan-2024",755.59,705.15,753.15,,23.50,21.93,23.43,
"00:00:00 19-Dec-2023",790.95,722.66,726.59,,24.60,22.48,22.60,
"00:00:00 19-Nov-2023",832.01,723.87,765.66,,25.88,22.51,23.81,
"00:00:00 20-Oct-2023",776.26,703.55,762.67,,24.14,21.88,23.72,
