"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 03-May-2026",2443.26,2323.78,2334.58,,75.99,72.28,72.61,
"00:00:00 01-May-2026",2473.82,2347.15,2423.31,,76.94,73.00,75.37,
"00:00:00 29-Apr-2026",2395.74,2280.14,2390.29,,74.52,70.92,74.35,
"00:00:00 27-Apr-2026",2462.15,2316.29,2356.48,,76.58,72.04,73.29,
"00:00:00 25-Apr-2026",2434.52,2403.20,2408.69,,75.72,74.75,74.92,
"00:00:00 23-Apr-2026",2518.79,2378.50,2434.52,,78.34,73.98,75.72,
"00:00:00 21-Apr-2026",2573.48,2424.61,2492.90,,80.04,75.41,77.54,
"00:00:00 19-Apr-2026",2600.48,2528.63,2567.37,,80.88,78.65,79.85,
"00:00:00 17-Apr-2026",2670.04,2502.24,2600.48,,83.05,77.83,80.88,
"00:00:00 15-Apr-2026",2604.52,2510.17,2530.32,,81.01,78.08,78.70,
"00:00:00 13-Apr-2026",2563.05,2365.81,2555.87,,79.72,73.58,79.50,
"00:00:00 11-Apr-2026",2438.56,2339.94,2372.07,,75.85,72.78,73.78,
"00:00:00 09-Apr-2026",2469.69,2343.77,2438.56,,76.82,72.90,75.85,
"00:00:00 07-Apr-2026",2496.38,2246.70,2371.53,,77.65,69.88,73.76,
"00:00:00 05-Apr-2026",2365.24,2293.33,2343.58,,73.57,71.33,72.89,
"00:00:00 03-Apr-2026",2348.47,2348.47,2348.47,,73.05,73.05,73.05,
"00:00:00 01-Apr-2026",2459.48,2237.66,2348.47,,76.50,69.60,73.05,
"00:00:00 30-Mar-2026",2429.30,2179.78,2407.94,,75.56,67.80,74.90,
"00:00:00 28-Mar-2026",2244.68,2178.78,2189.34,,69.82,67.77,68.10,
"00:00:00 26-Mar-2026",2320.84,2145.92,2240.25,,72.19,66.75,69.68,
"00:00:00 24-Mar-2026",2396.16,2122.82,2272.28,,74.53,66.03,70.68,
"00:00:00 22-Mar-2026",2274.88,1961.74,2242.37,,70.76,61.02,69.75,
"00:00:00 20-Mar-2026",2396.01,2176.92,2184.68,,74.52,67.71,67.95,
"00:00:00 18-Mar-2026",2576.90,2107.34,2332.46,,80.15,65.55,72.55,
"00:00:00 16-Mar-2026",2654.13,2481.58,2547.16,,82.55,77.19,79.23,
"00:00:00 14-Mar-2026",2592.30,2549.67,2575.77,,80.63,79.30,80.12,
"00:00:00 12-Mar-2026",2811.50,2554.22,2590.83,,87.45,79.45,80.58,
"00:00:00 10-Mar-2026",2893.24,2716.20,2720.19,,89.99,84.48,84.61,
"00:00:00 08-Mar-2026",2829.64,2565.28,2807.81,,88.01,79.79,87.33,
"00:00:00 06-Mar-2026",2731.00,2626.06,2716.93,,84.94,81.68,84.51,
"00:00:00 04-Mar-2026",2790.73,2576.30,2660.91,,86.80,80.13,82.76,
"00:00:00 02-Mar-2026",3091.76,2510.02,2667.83,,96.16,78.07,82.98,
"00:00:00 28-Feb-2026",3099.26,3016.26,3079.14,,96.40,93.82,95.77,
"00:00:00 26-Feb-2026",3026.83,2742.92,3016.89,,94.14,85.31,93.84,
"00:00:00 24-Feb-2026",2935.03,2734.80,2814.74,,91.29,85.06,87.55,
"00:00:00 22-Feb-2026",2862.67,2721.24,2835.94,,89.04,84.64,88.21,
"00:00:00 20-Feb-2026",2724.15,2492.66,2721.66,,84.73,77.53,84.65,
"00:00:00 18-Feb-2026",2555.11,2327.46,2507.07,,79.47,72.39,77.98,
"00:00:00 16-Feb-2026",2489.73,2317.47,2329.35,,77.44,72.08,72.45,
"00:00:00 14-Feb-2026",2515.30,2402.92,2455.17,,78.23,74.74,76.36,
"00:00:00 12-Feb-2026",2708.47,2380.08,2487.78,,84.24,74.03,77.38,
"00:00:00 10-Feb-2026",2774.43,2572.06,2664.83,,86.29,80.00,82.89,
"00:00:00 08-Feb-2026",2701.39,2498.84,2632.11,,84.02,77.72,81.87,
"00:00:00 06-Feb-2026",2512.64,2061.99,2498.84,,78.15,64.14,77.72,
"00:00:00 04-Feb-2026",2964.45,2154.49,2162.82,,92.20,67.01,67.27,
"00:00:00 02-Feb-2026",2865.37,2304.36,2719.06,,89.12,71.67,84.57,
"00:00:00 31-Jan-2026",2744.98,2475.91,2622.40,,85.38,77.01,81.57,
"00:00:00 29-Jan-2026",3910.07,2369.52,2743.31,,121.62,73.70,85.33,
"00:00:00 27-Jan-2026",3837.74,3364.33,3785.71,,119.37,104.64,117.75,
"00:00:00 25-Jan-2026",3784.84,3285.75,3433.12,,117.72,102.20,106.78,
"00:00:00 23-Jan-2026",3323.86,3109.42,3318.18,,103.38,96.71,103.21,
"00:00:00 21-Jan-2026",3117.66,2906.93,3117.38,,96.97,90.42,96.96,
"00:00:00 19-Jan-2026",3082.22,2972.30,3050.55,,95.87,92.45,94.88,
"00:00:00 17-Jan-2026",3026.48,2896.44,3001.10,,94.13,90.09,93.34,
"00:00:00 15-Jan-2026",2991.06,2772.82,2897.61,,93.03,86.24,90.13,
"00:00:00 13-Jan-2026",3014.68,2689.25,2965.45,,93.77,83.65,92.24,
"00:00:00 11-Jan-2026",2771.99,2569.57,2712.23,,86.22,79.92,84.36,
"00:00:00 09-Jan-2026",2588.46,2427.81,2570.48,,80.51,75.51,79.95,
"00:00:00 07-Jan-2026",2658.12,2375.12,2465.69,,82.68,73.87,76.69,
"00:00:00 05-Jan-2026",2660.19,2378.60,2652.87,,82.74,73.98,82.51,
"00:00:00 03-Jan-2026",2383.37,2340.70,2379.77,,74.13,72.80,74.02,
"00:00:00 01-Jan-2026",2396.80,2296.11,2343.01,,74.55,71.42,72.88,
"00:00:00 30-Dec-2025",2509.45,2253.22,2301.77,,78.05,70.08,71.59,
"00:00:00 28-Dec-2025",2697.59,2268.39,2333.24,,83.90,70.55,72.57,
"00:00:00 26-Dec-2025",2551.33,2350.97,2539.06,,79.36,73.12,78.97,
"00:00:00 24-Dec-2025",2372.25,2258.41,2351.28,,73.79,70.24,73.13,
"00:00:00 22-Dec-2025",2310.00,2166.54,2309.29,,71.85,67.39,71.83,
"00:00:00 20-Dec-2025",2170.88,2157.90,2168.20,,67.52,67.12,67.44,
"00:00:00 18-Dec-2025",2168.66,2074.34,2157.90,,67.45,64.52,67.12,
"00:00:00 16-Dec-2025",2150.17,1999.84,2132.29,,66.88,62.20,66.32,
"00:00:00 14-Dec-2025",2062.43,1952.12,2055.17,,64.15,60.72,63.92,
"00:00:00 12-Dec-2025",2078.61,1956.06,1992.32,,64.65,60.84,61.97,
"00:00:00 10-Dec-2025",2067.57,1932.76,2028.23,,64.31,60.12,63.09,
"00:00:00 08-Dec-2025",1958.82,1852.87,1956.61,,60.93,57.63,60.86,
"00:00:00 06-Dec-2025",1889.10,1872.91,1879.16,,58.76,58.25,58.45,
"00:00:00 04-Dec-2025",1907.34,1816.70,1874.95,,59.32,56.51,58.32,
"00:00:00 02-Dec-2025",1896.09,1819.38,1881.61,,58.97,56.59,58.52,
"00:00:00 30-Nov-2025",1891.13,1808.54,1852.24,,58.82,56.25,57.61,
"00:00:00 28-Nov-2025",1817.45,1718.30,1813.88,,56.53,53.45,56.42,
"00:00:00 26-Nov-2025",1733.05,1650.67,1719.64,,53.90,51.34,53.49,
"00:00:00 24-Nov-2025",1663.80,1598.70,1651.00,,51.75,49.73,51.35,
"00:00:00 22-Nov-2025",1620.04,1600.69,1611.64,,50.39,49.79,50.13,
"00:00:00 20-Nov-2025",1667.48,1563.97,1607.86,,51.86,48.64,50.01,
"00:00:00 18-Nov-2025",1686.86,1587.09,1663.21,,52.47,49.36,51.73,
"00:00:00 16-Nov-2025",1649.45,1592.51,1604.45,,51.30,49.53,49.90,
"00:00:00 14-Nov-2025",1721.72,1610.16,1624.77,,53.55,50.08,50.54,
"00:00:00 12-Nov-2025",1748.60,1636.36,1688.61,,54.39,50.90,52.52,
"00:00:00 10-Nov-2025",1650.80,1559.21,1648.59,,51.35,48.50,51.28,
"00:00:00 08-Nov-2025",1562.80,1553.89,1562.30,,48.61,48.33,48.59,
"00:00:00 06-Nov-2025",1571.44,1532.52,1554.38,,48.88,47.67,48.35,
"00:00:00 04-Nov-2025",1552.00,1507.62,1543.92,,48.27,46.89,48.02,
"00:00:00 02-Nov-2025",1578.91,1535.90,1541.88,,49.11,47.77,47.96,
"00:00:00 31-Oct-2025",1587.03,1555.64,1567.48,,49.36,48.39,48.75,
"00:00:00 29-Oct-2025",1580.74,1514.57,1578.25,,49.17,47.11,49.09,
"00:00:00 27-Oct-2025",1560.66,1464.84,1515.95,,48.54,45.56,47.15,
"00:00:00 25-Oct-2025",1565.51,1546.20,1548.53,,48.69,48.09,48.16,
"00:00:00 23-Oct-2025",1589.66,1538.41,1562.57,,49.44,47.85,48.60,
"00:00:00 21-Oct-2025",1689.71,1529.01,1549.27,,52.56,47.56,48.19,
"00:00:00 19-Oct-2025",1696.41,1649.22,1689.71,,52.76,51.30,52.56,
"00:00:00 17-Oct-2025",1751.19,1628.19,1664.11,,54.47,50.64,51.76,
"00:00:00 15-Oct-2025",1748.44,1658.17,1746.02,,54.38,51.57,54.31,
"00:00:00 13-Oct-2025",1723.16,1613.77,1670.88,,53.60,50.19,51.97,
"00:00:00 11-Oct-2025",1638.32,1599.03,1620.86,,50.96,49.74,50.41,
"00:00:00 09-Oct-2025",1647.31,1558.60,1611.55,,51.24,48.48,50.12,
"00:00:00 07-Oct-2025",1592.96,1522.24,1568.71,,49.55,47.35,48.79,
"00:00:00 05-Oct-2025",1567.84,1542.22,1559.33,,48.77,47.97,48.50,
"00:00:00 03-Oct-2025",1555.00,1500.00,1542.98,,48.37,46.66,47.99,
"00:00:00 01-Oct-2025",1544.76,1476.81,1510.45,,48.05,45.93,46.98,
"00:00:00 29-Sep-2025",1516.72,1473.40,1502.13,,47.18,45.83,46.72,
"00:00:00 27-Sep-2025",1490.63,1481.02,1487.16,,46.36,46.06,46.26,
"00:00:00 25-Sep-2025",1499.11,1407.69,1482.61,,46.63,43.78,46.11,
"00:00:00 23-Sep-2025",1429.58,1403.37,1412.42,,44.46,43.65,43.93,
"00:00:00 21-Sep-2025",1418.32,1383.37,1415.35,,44.11,43.03,44.02,
"00:00:00 19-Sep-2025",1385.91,1339.37,1384.48,,43.11,41.66,43.06,
"00:00:00 17-Sep-2025",1370.65,1322.79,1341.48,,42.63,41.14,41.72,
"00:00:00 15-Sep-2025",1381.36,1350.68,1370.53,,42.97,42.01,42.63,
"00:00:00 13-Sep-2025",1358.27,1352.65,1353.62,,42.25,42.07,42.10,
"00:00:00 11-Sep-2025",1365.10,1315.03,1355.82,,42.46,40.90,42.17,
"00:00:00 09-Sep-2025",1333.59,1309.56,1324.74,,41.48,40.73,41.20,
"00:00:00 07-Sep-2025",1339.57,1303.53,1328.72,,41.67,40.54,41.33,
"00:00:00 05-Sep-2025",1331.43,1304.95,1319.54,,41.41,40.59,41.04,
"00:00:00 03-Sep-2025",1333.07,1299.30,1309.68,,41.46,40.41,40.74,
"00:00:00 01-Sep-2025",1316.02,1278.26,1314.22,,40.93,39.76,40.88,
"00:00:00 30-Aug-2025",1280.86,1271.69,1279.52,,39.84,39.55,39.80,
"00:00:00 28-Aug-2025",1284.98,1241.00,1277.84,,39.97,38.60,39.75,
"00:00:00 26-Aug-2025",1249.22,1225.06,1241.58,,38.86,38.10,38.62,
"00:00:00 24-Aug-2025",1253.78,1233.81,1235.02,,39.00,38.38,38.41,
"00:00:00 22-Aug-2025",1255.83,1212.19,1250.41,,39.06,37.70,38.89,
"00:00:00 20-Aug-2025",1228.36,1188.70,1224.99,,38.21,36.97,38.10,
