"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 13-Aug-2026",2130.87,2072.28,2072.28,,66.28,64.46,64.46,
"00:00:00 11-Aug-2026",2146.90,2065.65,2099.56,,66.78,64.25,65.30,
"00:00:00 09-Aug-2026",2123.81,2025.58,2116.27,,66.06,63.00,65.82,
"00:00:00 07-Aug-2026",2091.05,1966.89,2044.15,,65.04,61.18,63.58,
"00:00:00 05-Aug-2026",2022.30,1910.18,1982.31,,62.90,59.41,61.66,
"00:00:00 03-Aug-2026",1930.18,1819.34,1911.48,,60.04,56.59,59.45,
"00:00:00 01-Aug-2026",1885.06,1850.53,1874.01,,58.63,57.56,58.29,
"00:00:00 30-Jul-2026",1906.77,1830.79,1850.90,,59.31,56.94,57.57,
"00:00:00 28-Jul-2026",1904.43,1821.83,1871.23,,59.23,56.67,58.20,
"00:00:00 26-Jul-2026",1931.19,1870.24,1876.67,,60.07,58.17,58.37,
"00:00:00 24-Jul-2026",1895.68,1836.08,1870.24,,58.96,57.11,58.17,
"00:00:00 22-Jul-2026",1958.16,1834.74,1849.75,,60.91,57.07,57.53,
"00:00:00 20-Jul-2026",1904.62,1788.90,1892.65,,59.24,55.64,58.87,
"00:00:00 18-Jul-2026",1798.94,1785.48,1797.32,,55.95,55.53,55.90,
"00:00:00 16-Jul-2026",1859.65,1761.13,1798.94,,57.84,54.78,55.95,
"00:00:00 14-Jul-2026",1917.37,1820.74,1858.08,,59.64,56.63,57.79,
"00:00:00 12-Jul-2026",1926.33,1841.71,1852.33,,59.92,57.28,57.61,
"00:00:00 10-Jul-2026",1953.58,1895.21,1925.57,,60.76,58.95,59.89,
"00:00:00 08-Jul-2026",1961.95,1839.94,1929.74,,61.02,57.23,60.02,
"00:00:00 06-Jul-2026",2028.75,1911.74,1918.44,,63.10,59.46,59.67,
"00:00:00 04-Jul-2026",2034.10,2005.62,2019.21,,63.27,62.38,62.80,
"00:00:00 02-Jul-2026",2021.75,1894.51,2006.00,,62.88,58.93,62.39,
"00:00:00 30-Jun-2026",1961.24,1820.82,1899.98,,61.00,56.63,59.10,
"00:00:00 28-Jun-2026",1910.69,1847.21,1878.92,,59.43,57.45,58.44,
"00:00:00 26-Jun-2026",1914.94,1791.60,1903.10,,59.56,55.72,59.19,
"00:00:00 24-Jun-2026",2004.89,1788.05,1853.14,,62.36,55.61,57.64,
"00:00:00 22-Jun-2026",2158.25,1955.74,1981.58,,67.13,60.83,61.63,
"00:00:00 20-Jun-2026",2091.48,2052.63,2070.72,,65.05,63.84,64.41,
"00:00:00 18-Jun-2026",2245.10,2035.24,2085.43,,69.83,63.30,64.86,
"00:00:00 16-Jun-2026",2300.24,2149.13,2199.50,,71.55,66.85,68.41,
"00:00:00 14-Jun-2026",2292.36,2186.66,2248.78,,71.30,68.01,69.94,
"00:00:00 12-Jun-2026",2197.47,2118.58,2186.66,,68.35,65.90,68.01,
"00:00:00 10-Jun-2026",2184.75,1977.27,2170.85,,67.95,61.50,67.52,
"00:00:00 08-Jun-2026",2216.33,2070.46,2086.50,,68.94,64.40,64.90,
"00:00:00 06-Jun-2026",2193.77,2153.99,2192.55,,68.23,67.00,68.20,
"00:00:00 04-Jun-2026",2412.72,2172.74,2181.05,,75.04,67.58,67.84,
"00:00:00 02-Jun-2026",2475.84,2330.28,2353.94,,77.01,72.48,73.22,
"00:00:00 31-May-2026",2452.55,2361.27,2412.96,,76.28,73.44,75.05,
"00:00:00 29-May-2026",2464.37,2398.63,2420.77,,76.65,74.61,75.29,
"00:00:00 27-May-2026",2492.09,2308.75,2434.07,,77.51,71.81,75.71,
"00:00:00 25-May-2026",2531.37,2427.55,2486.41,,78.73,75.51,77.34,
"00:00:00 23-May-2026",2534.14,2428.22,2513.26,,78.82,75.53,78.17,
"00:00:00 21-May-2026",2478.98,2395.05,2428.22,,77.10,74.49,75.53,
"00:00:00 19-May-2026",2535.85,2351.65,2441.54,,78.87,73.14,75.94,
"00:00:00 17-May-2026",2536.48,2375.63,2529.93,,78.89,73.89,78.69,
"00:00:00 15-May-2026",2690.88,2435.31,2442.79,,83.70,75.75,75.98,
"00:00:00 13-May-2026",2872.68,2672.30,2685.10,,89.35,83.12,83.52,
"00:00:00 11-May-2026",2805.73,2558.67,2803.08,,87.27,79.58,87.19,
"00:00:00 09-May-2026",2583.90,2545.42,2571.06,,80.37,79.17,79.97,
"00:00:00 07-May-2026",2639.97,2475.70,2583.90,,82.11,77.00,80.37,
"00:00:00 05-May-2026",2501.03,2328.49,2492.59,,77.79,72.42,77.53,
