"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 09-Jul-2026",1911.93,1851.72,1897.97,,59.47,57.59,59.03,
"12:00:00 08-Jul-2026",1895.59,1839.94,1878.84,,58.96,57.23,58.44,
"00:00:00 08-Jul-2026",1961.95,1868.48,1888.43,,61.02,58.12,58.74,
"12:00:00 07-Jul-2026",1987.92,1911.74,1918.44,,61.83,59.46,59.67,
"00:00:00 07-Jul-2026",1994.76,1940.78,1973.14,,62.04,60.37,61.37,
"12:00:00 06-Jul-2026",2004.43,1973.56,1986.65,,62.34,61.38,61.79,
"00:00:00 06-Jul-2026",2028.75,1979.45,1999.31,,63.10,61.57,62.19,
"12:00:00 05-Jul-2026",2034.10,2005.62,2019.21,,63.27,62.38,62.80,
"00:00:00 05-Jul-2026",2006.00,2006.00,2006.00,,62.39,62.39,62.39,
"12:00:00 04-Jul-2026",2006.00,2006.00,2006.00,,62.39,62.39,62.39,
"00:00:00 04-Jul-2026",2006.00,2006.00,2006.00,,62.39,62.39,62.39,
"12:00:00 03-Jul-2026",2009.59,1991.30,2006.00,,62.51,61.94,62.39,
"00:00:00 03-Jul-2026",2021.75,1961.85,2005.01,,62.88,61.02,62.36,
"12:00:00 02-Jul-2026",1995.20,1919.52,1964.01,,62.06,59.70,61.09,
"00:00:00 02-Jul-2026",1942.07,1894.51,1923.01,,60.41,58.93,59.81,
"12:00:00 01-Jul-2026",1961.24,1875.62,1899.98,,61.00,58.34,59.10,
"00:00:00 01-Jul-2026",1900.73,1838.41,1894.31,,59.12,57.18,58.92,
"12:00:00 30-Jun-2026",1942.68,1873.47,1877.84,,60.42,58.27,58.41,
"00:00:00 30-Jun-2026",1913.78,1820.82,1898.35,,59.53,56.63,59.05,
"12:00:00 29-Jun-2026",1888.53,1847.21,1878.92,,58.74,57.45,58.44,
"00:00:00 29-Jun-2026",1901.27,1847.57,1870.88,,59.14,57.47,58.19,
"12:00:00 28-Jun-2026",1910.69,1880.68,1887.13,,59.43,58.50,58.70,
"00:00:00 28-Jun-2026",1903.10,1903.10,1903.10,,59.19,59.19,59.19,
"12:00:00 27-Jun-2026",1903.10,1902.24,1903.10,,59.19,59.17,59.19,
"00:00:00 27-Jun-2026",1902.24,1902.24,1902.24,,59.17,59.17,59.17,
"12:00:00 26-Jun-2026",1914.94,1865.33,1902.24,,59.56,58.02,59.17,
"00:00:00 26-Jun-2026",1880.46,1791.60,1870.18,,58.49,55.72,58.17,
"12:00:00 25-Jun-2026",1896.60,1832.05,1853.14,,58.99,56.98,57.64,
"00:00:00 25-Jun-2026",1859.79,1811.89,1837.47,,57.85,56.36,57.15,
"12:00:00 24-Jun-2026",1915.77,1788.05,1855.32,,59.59,55.61,57.71,
"00:00:00 24-Jun-2026",2004.89,1910.68,1910.68,,62.36,59.43,59.43,
"12:00:00 23-Jun-2026",2008.83,1955.74,1981.58,,62.48,60.83,61.63,
"00:00:00 23-Jun-2026",2094.34,1987.62,1995.65,,65.14,61.82,62.07,
"12:00:00 22-Jun-2026",2149.55,2086.07,2087.71,,66.86,64.88,64.94,
"00:00:00 22-Jun-2026",2158.25,2070.72,2137.03,,67.13,64.41,66.47,
"12:00:00 21-Jun-2026",2091.48,2052.63,2070.72,,65.05,63.84,64.41,
"00:00:00 21-Jun-2026",2085.43,2085.43,2085.43,,64.86,64.86,64.86,
