"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 19-Jul-2026",1798.94,1798.94,1798.94,,55.95,55.95,55.95,
"20:00:00 18-Jul-2026",1798.94,1798.94,1798.94,,55.95,55.95,55.95,
"16:00:00 18-Jul-2026",1798.94,1798.94,1798.94,,55.95,55.95,55.95,
"12:00:00 18-Jul-2026",1798.94,1798.94,1798.94,,55.95,55.95,55.95,
"08:00:00 18-Jul-2026",1798.94,1798.94,1798.94,,55.95,55.95,55.95,
"04:00:00 18-Jul-2026",1798.94,1798.94,1798.94,,55.95,55.95,55.95,
"00:00:00 18-Jul-2026",1798.94,1798.94,1798.94,,55.95,55.95,55.95,
"20:00:00 17-Jul-2026",1805.27,1796.28,1798.94,,56.15,55.87,55.95,
"16:00:00 17-Jul-2026",1806.98,1797.00,1805.27,,56.20,55.89,56.15,
"12:00:00 17-Jul-2026",1806.43,1764.55,1803.03,,56.19,54.88,56.08,
"08:00:00 17-Jul-2026",1791.81,1775.53,1782.27,,55.73,55.23,55.43,
"04:00:00 17-Jul-2026",1800.52,1768.44,1782.61,,56.00,55.00,55.45,
"00:00:00 17-Jul-2026",1793.53,1761.13,1781.44,,55.79,54.78,55.41,
"20:00:00 16-Jul-2026",1792.11,1781.61,1787.58,,55.74,55.41,55.60,
"16:00:00 16-Jul-2026",1810.01,1779.17,1792.11,,56.30,55.34,55.74,
"12:00:00 16-Jul-2026",1826.56,1781.96,1809.99,,56.81,55.43,56.30,
"08:00:00 16-Jul-2026",1836.36,1814.99,1823.97,,57.12,56.45,56.73,
"04:00:00 16-Jul-2026",1847.33,1823.43,1827.63,,57.46,56.72,56.85,
"00:00:00 16-Jul-2026",1859.65,1829.43,1839.43,,57.84,56.90,57.21,
"20:00:00 15-Jul-2026",1861.83,1855.27,1858.08,,57.91,57.71,57.79,
"16:00:00 15-Jul-2026",1877.28,1820.74,1856.20,,58.39,56.63,57.73,
"12:00:00 15-Jul-2026",1891.83,1847.90,1853.70,,58.84,57.48,57.66,
"08:00:00 15-Jul-2026",1879.43,1859.75,1870.23,,58.46,57.84,58.17,
"04:00:00 15-Jul-2026",1882.41,1864.85,1869.96,,58.55,58.00,58.16,
"00:00:00 15-Jul-2026",1898.70,1871.49,1877.60,,59.06,58.21,58.40,
"20:00:00 14-Jul-2026",1892.01,1884.97,1890.28,,58.85,58.63,58.79,
"16:00:00 14-Jul-2026",1893.23,1880.73,1890.80,,58.89,58.50,58.81,
"12:00:00 14-Jul-2026",1917.37,1858.57,1889.74,,59.64,57.81,58.78,
