"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"08:00:00 13-Aug-2026",2077.72,2069.21,2069.71,,64.62,64.36,64.38,
"04:00:00 13-Aug-2026",2110.55,2073.29,2076.16,,65.65,64.49,64.58,
"00:00:00 13-Aug-2026",2130.87,2088.46,2101.28,,66.28,64.96,65.36,
"20:00:00 12-Aug-2026",2102.41,2091.73,2099.56,,65.39,65.06,65.30,
"16:00:00 12-Aug-2026",2117.38,2092.74,2101.41,,65.86,65.09,65.36,
"12:00:00 12-Aug-2026",2143.10,2107.37,2115.38,,66.66,65.55,65.80,
"08:00:00 12-Aug-2026",2146.90,2123.36,2131.96,,66.78,66.04,66.31,
"04:00:00 12-Aug-2026",2127.29,2089.23,2123.75,,66.17,64.98,66.06,
"00:00:00 12-Aug-2026",2114.09,2080.96,2101.31,,65.76,64.73,65.36,
"20:00:00 11-Aug-2026",2086.29,2077.80,2082.64,,64.89,64.63,64.78,
"16:00:00 11-Aug-2026",2093.63,2070.59,2083.04,,65.12,64.40,64.79,
"12:00:00 11-Aug-2026",2099.76,2069.36,2087.69,,65.31,64.36,64.93,
"08:00:00 11-Aug-2026",2100.44,2071.59,2095.64,,65.33,64.43,65.18,
"04:00:00 11-Aug-2026",2117.38,2065.65,2071.59,,65.86,64.25,64.43,
"00:00:00 11-Aug-2026",2136.77,2104.13,2115.22,,66.46,65.45,65.79,
"20:00:00 10-Aug-2026",2118.59,2109.99,2116.27,,65.90,65.63,65.82,
"16:00:00 10-Aug-2026",2123.81,2083.49,2113.77,,66.06,64.80,65.75,
"12:00:00 10-Aug-2026",2093.97,2045.15,2092.50,,65.13,63.61,65.08,
"08:00:00 10-Aug-2026",2071.39,2052.20,2059.59,,64.43,63.83,64.06,
"04:00:00 10-Aug-2026",2071.97,2044.06,2068.18,,64.45,63.58,64.33,
"00:00:00 10-Aug-2026",2058.64,2025.58,2045.20,,64.03,63.00,63.61,
"20:00:00 09-Aug-2026",2055.33,2038.00,2042.92,,63.93,63.39,63.54,
"16:00:00 09-Aug-2026",2044.15,2044.15,2044.15,,63.58,63.58,63.58,
"12:00:00 09-Aug-2026",2044.15,2044.15,2044.15,,63.58,63.58,63.58,
"08:00:00 09-Aug-2026",2044.15,2044.15,2044.15,,63.58,63.58,63.58,
"04:00:00 09-Aug-2026",2044.15,2044.15,2044.15,,63.58,63.58,63.58,
"00:00:00 09-Aug-2026",2044.15,2044.15,2044.15,,63.58,63.58,63.58,
"20:00:00 08-Aug-2026",2044.15,2044.15,2044.15,,63.58,63.58,63.58,
"16:00:00 08-Aug-2026",2044.15,2044.15,2044.15,,63.58,63.58,63.58,
"12:00:00 08-Aug-2026",2044.15,2044.15,2044.15,,63.58,63.58,63.58,
"08:00:00 08-Aug-2026",2044.15,2044.15,2044.15,,63.58,63.58,63.58,
"04:00:00 08-Aug-2026",2044.15,2044.15,2044.15,,63.58,63.58,63.58,
"00:00:00 08-Aug-2026",2044.15,2044.15,2044.15,,63.58,63.58,63.58,
"20:00:00 07-Aug-2026",2045.69,2038.34,2044.15,,63.63,63.40,63.58,
"16:00:00 07-Aug-2026",2048.38,2027.80,2045.69,,63.71,63.07,63.63,
"12:00:00 07-Aug-2026",2091.05,2035.63,2036.48,,65.04,63.32,63.34,
"08:00:00 07-Aug-2026",2078.13,2052.13,2060.32,,64.64,63.83,64.08,
"04:00:00 07-Aug-2026",2054.53,2000.41,2052.54,,63.90,62.22,63.84,
"00:00:00 07-Aug-2026",2005.96,1966.89,2005.39,,62.39,61.18,62.37,
"20:00:00 06-Aug-2026",1987.99,1973.69,1982.31,,61.83,61.39,61.66,
"16:00:00 06-Aug-2026",1987.77,1957.39,1986.69,,61.83,60.88,61.79,
"12:00:00 06-Aug-2026",1987.30,1961.82,1963.82,,61.81,61.02,61.08,
"08:00:00 06-Aug-2026",2000.03,1980.44,1987.30,,62.21,61.60,61.81,
"04:00:00 06-Aug-2026",1999.83,1979.14,1990.39,,62.20,61.56,61.91,
"00:00:00 06-Aug-2026",2022.30,1991.93,1996.49,,62.90,61.96,62.10,
"20:00:00 05-Aug-2026",2004.45,1992.04,2000.36,,62.35,61.96,62.22,
"16:00:00 05-Aug-2026",2005.43,1985.21,1994.37,,62.38,61.75,62.03,
"12:00:00 05-Aug-2026",2018.06,1976.83,1990.59,,62.77,61.49,61.91,
"08:00:00 05-Aug-2026",1994.24,1963.94,1992.76,,62.03,61.09,61.98,
"04:00:00 05-Aug-2026",1989.63,1950.76,1988.29,,61.88,60.68,61.84,
"00:00:00 05-Aug-2026",1959.11,1910.18,1952.76,,60.94,59.41,60.74,
"20:00:00 04-Aug-2026",1917.09,1909.93,1911.48,,59.63,59.41,59.45,
"16:00:00 04-Aug-2026",1930.18,1913.89,1914.96,,60.04,59.53,59.56,
"12:00:00 04-Aug-2026",1928.51,1901.31,1920.20,,59.98,59.14,59.72,
"08:00:00 04-Aug-2026",1912.07,1883.22,1911.26,,59.47,58.57,59.45,
"04:00:00 04-Aug-2026",1901.00,1885.88,1896.16,,59.13,58.66,58.98,
"00:00:00 04-Aug-2026",1891.39,1865.11,1886.33,,58.83,58.01,58.67,
"20:00:00 03-Aug-2026",1873.43,1864.53,1873.09,,58.27,57.99,58.26,
"16:00:00 03-Aug-2026",1871.78,1845.13,1866.10,,58.22,57.39,58.04,
"12:00:00 03-Aug-2026",1866.41,1819.34,1847.02,,58.05,56.59,57.45,
"08:00:00 03-Aug-2026",1877.26,1856.72,1864.72,,58.39,57.75,58.00,
"04:00:00 03-Aug-2026",1883.58,1858.22,1874.26,,58.59,57.80,58.30,
"00:00:00 03-Aug-2026",1877.81,1859.64,1872.76,,58.41,57.84,58.25,
"20:00:00 02-Aug-2026",1885.06,1852.07,1874.01,,58.63,57.61,58.29,
"16:00:00 02-Aug-2026",1852.07,1850.53,1852.07,,57.61,57.56,57.61,
"12:00:00 02-Aug-2026",1850.53,1850.53,1850.53,,57.56,57.56,57.56,
"08:00:00 02-Aug-2026",1850.53,1850.53,1850.53,,57.56,57.56,57.56,
"04:00:00 02-Aug-2026",1850.53,1850.53,1850.53,,57.56,57.56,57.56,
"00:00:00 02-Aug-2026",1850.53,1850.53,1850.53,,57.56,57.56,57.56,
"20:00:00 01-Aug-2026",1850.53,1850.53,1850.53,,57.56,57.56,57.56,
"16:00:00 01-Aug-2026",1850.53,1850.53,1850.53,,57.56,57.56,57.56,
"12:00:00 01-Aug-2026",1850.53,1850.53,1850.53,,57.56,57.56,57.56,
"08:00:00 01-Aug-2026",1850.53,1850.53,1850.53,,57.56,57.56,57.56,
"04:00:00 01-Aug-2026",1850.90,1850.53,1850.53,,57.57,57.56,57.56,
"00:00:00 01-Aug-2026",1850.90,1850.90,1850.90,,57.57,57.57,57.57,
"20:00:00 31-Jul-2026",1863.00,1850.78,1850.90,,57.95,57.57,57.57,
"16:00:00 31-Jul-2026",1864.33,1844.15,1862.56,,57.99,57.36,57.93,
"12:00:00 31-Jul-2026",1861.45,1834.00,1847.99,,57.90,57.04,57.48,
"08:00:00 31-Jul-2026",1873.40,1853.84,1859.25,,58.27,57.66,57.83,
"04:00:00 31-Jul-2026",1889.37,1866.29,1872.11,,58.77,58.05,58.23,
"00:00:00 31-Jul-2026",1902.23,1874.91,1876.55,,59.17,58.32,58.37,
"20:00:00 30-Jul-2026",1906.77,1894.09,1899.86,,59.31,58.91,59.09,
"16:00:00 30-Jul-2026",1904.97,1882.06,1903.27,,59.25,58.54,59.20,
"12:00:00 30-Jul-2026",1885.75,1858.94,1884.21,,58.65,57.82,58.61,
"08:00:00 30-Jul-2026",1873.65,1830.79,1868.57,,58.28,56.94,58.12,
"04:00:00 30-Jul-2026",1850.77,1831.15,1832.05,,57.57,56.96,56.98,
"00:00:00 30-Jul-2026",1885.50,1844.01,1850.09,,58.65,57.36,57.54,
"20:00:00 29-Jul-2026",1881.11,1834.84,1871.23,,58.51,57.07,58.20,
"16:00:00 29-Jul-2026",1904.43,1826.45,1841.96,,59.23,56.81,57.29,
"12:00:00 29-Jul-2026",1855.13,1825.87,1832.33,,57.70,56.79,56.99,
"08:00:00 29-Jul-2026",1867.94,1844.62,1853.58,,58.10,57.37,57.65,
"04:00:00 29-Jul-2026",1872.19,1843.24,1867.82,,58.23,57.33,58.10,
"00:00:00 29-Jul-2026",1864.34,1830.71,1845.05,,57.99,56.94,57.39,
"20:00:00 28-Jul-2026",1840.21,1828.53,1839.97,,57.24,56.87,57.23,
"16:00:00 28-Jul-2026",1849.95,1833.31,1838.44,,57.54,57.02,57.18,
"12:00:00 28-Jul-2026",1849.01,1821.83,1846.73,,57.51,56.67,57.44,
"08:00:00 28-Jul-2026",1854.88,1833.30,1844.38,,57.69,57.02,57.37,
"04:00:00 28-Jul-2026",1850.78,1823.67,1847.71,,57.57,56.72,57.47,
"00:00:00 28-Jul-2026",1877.67,1835.93,1844.83,,58.40,57.10,57.38,
"20:00:00 27-Jul-2026",1882.97,1874.59,1876.67,,58.57,58.31,58.37,
"16:00:00 27-Jul-2026",1896.77,1870.34,1882.90,,59.00,58.17,58.56,
"12:00:00 27-Jul-2026",1901.60,1874.91,1885.35,,59.15,58.32,58.64,
"08:00:00 27-Jul-2026",1911.53,1897.55,1898.88,,59.46,59.02,59.06,
"04:00:00 27-Jul-2026",1922.78,1901.39,1903.27,,59.81,59.14,59.20,
"00:00:00 27-Jul-2026",1931.19,1906.01,1906.87,,60.07,59.28,59.31,
"20:00:00 26-Jul-2026",1925.43,1870.24,1918.24,,59.89,58.17,59.66,
"16:00:00 26-Jul-2026",1870.24,1870.24,1870.24,,58.17,58.17,58.17,
"12:00:00 26-Jul-2026",1870.24,1870.24,1870.24,,58.17,58.17,58.17,
"08:00:00 26-Jul-2026",1870.24,1870.24,1870.24,,58.17,58.17,58.17,
"04:00:00 26-Jul-2026",1870.24,1870.24,1870.24,,58.17,58.17,58.17,
"00:00:00 26-Jul-2026",1870.24,1870.24,1870.24,,58.17,58.17,58.17,
"20:00:00 25-Jul-2026",1870.24,1870.24,1870.24,,58.17,58.17,58.17,
"16:00:00 25-Jul-2026",1870.24,1870.24,1870.24,,58.17,58.17,58.17,
"12:00:00 25-Jul-2026",1870.24,1870.24,1870.24,,58.17,58.17,58.17,
"08:00:00 25-Jul-2026",1870.24,1870.24,1870.24,,58.17,58.17,58.17,
"04:00:00 25-Jul-2026",1870.24,1870.24,1870.24,,58.17,58.17,58.17,
"00:00:00 25-Jul-2026",1870.24,1870.24,1870.24,,58.17,58.17,58.17,
"20:00:00 24-Jul-2026",1873.74,1868.03,1870.24,,58.28,58.10,58.17,
"16:00:00 24-Jul-2026",1894.34,1867.33,1871.44,,58.92,58.08,58.21,
"12:00:00 24-Jul-2026",1895.68,1860.23,1893.69,,58.96,57.86,58.90,
"08:00:00 24-Jul-2026",1885.19,1866.54,1879.56,,58.64,58.06,58.46,
"04:00:00 24-Jul-2026",1878.30,1838.42,1870.63,,58.42,57.18,58.18,
"00:00:00 24-Jul-2026",1860.89,1836.08,1842.12,,57.88,57.11,57.30,
"20:00:00 23-Jul-2026",1855.34,1847.17,1849.75,,57.71,57.45,57.53,
"16:00:00 23-Jul-2026",1862.18,1845.64,1851.75,,57.92,57.41,57.60,
"12:00:00 23-Jul-2026",1881.80,1834.74,1851.80,,58.53,57.07,57.60,
"08:00:00 23-Jul-2026",1897.46,1869.16,1881.80,,59.02,58.14,58.53,
"04:00:00 23-Jul-2026",1926.23,1886.48,1895.39,,59.91,58.68,58.95,
"00:00:00 23-Jul-2026",1931.26,1910.92,1921.08,,60.07,59.44,59.75,
"20:00:00 22-Jul-2026",1926.60,1895.21,1920.22,,59.92,58.95,59.73,
"16:00:00 22-Jul-2026",1937.95,1914.51,1917.75,,60.28,59.55,59.65,
"12:00:00 22-Jul-2026",1958.16,1896.21,1937.20,,60.91,58.98,60.25,
"08:00:00 22-Jul-2026",1916.90,1900.38,1908.06,,59.62,59.11,59.35,
"04:00:00 22-Jul-2026",1923.03,1899.64,1900.38,,59.81,59.09,59.11,
"00:00:00 22-Jul-2026",1928.47,1889.64,1922.26,,59.98,58.77,59.79,
"20:00:00 21-Jul-2026",1894.75,1886.12,1892.65,,58.93,58.66,58.87,
"16:00:00 21-Jul-2026",1900.16,1886.98,1888.19,,59.10,58.69,58.73,
"12:00:00 21-Jul-2026",1902.91,1873.05,1895.17,,59.19,58.26,58.95,
"08:00:00 21-Jul-2026",1904.62,1886.86,1891.68,,59.24,58.69,58.84,
"04:00:00 21-Jul-2026",1901.66,1855.93,1901.66,,59.15,57.73,59.15,
"00:00:00 21-Jul-2026",1859.57,1806.99,1859.56,,57.84,56.20,57.84,
"20:00:00 20-Jul-2026",1816.38,1804.46,1811.93,,56.50,56.12,56.36,
"16:00:00 20-Jul-2026",1837.56,1812.48,1813.16,,57.15,56.37,56.40,
"12:00:00 20-Jul-2026",1837.98,1813.49,1830.67,,57.17,56.41,56.94,
"08:00:00 20-Jul-2026",1847.23,1823.17,1835.83,,57.46,56.71,57.10,
"04:00:00 20-Jul-2026",1834.44,1812.84,1832.77,,57.06,56.39,57.01,
"00:00:00 20-Jul-2026",1844.32,1788.90,1834.13,,57.36,55.64,57.05,
"20:00:00 19-Jul-2026",1798.94,1785.48,1797.32,,55.95,55.53,55.90,
"16:00:00 19-Jul-2026",1798.94,1798.94,1798.94,,55.95,55.95,55.95,
"12:00:00 19-Jul-2026",1798.94,1798.94,1798.94,,55.95,55.95,55.95,
"08:00:00 19-Jul-2026",1798.94,1798.94,1798.94,,55.95,55.95,55.95,
"04:00:00 19-Jul-2026",1798.94,1798.94,1798.94,,55.95,55.95,55.95,
